"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"File","Properties","⌘I","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Edit","Find and Replace","⌘F","In Windows"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Project","Build All","⌘B","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Window","Next Perspective","⌘F8","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Text Editing","Text Start","⌘↖","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Previous Word","⌥←","Editing Text"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Window","Next Editor","⌘F6","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Navigate","Backward History","⌃⌘←","In Windows"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"File","Close","⌘W","In Windows"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"View","Zoom Out","⌘-","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Navigate","Next","⌘.","In Windows"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Edit","Paste","⌘V","In Dialogs and Windows"
"C/C++ Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"File","New","⌘N","In Windows"
"Edit","Context Information","⇧⌥?","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"File","Refresh","F5","In Windows"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Redo","⌘Y","In Dialogs and Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"C/C++ Source","References","⇧⌘G","In C/C++ Views"
"Navigate","Go to Line","⌘L","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor"
"File","Close All","⇧⌘W","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Toggle Comment","⌘/","Editing Java Source"
"File","Properties","⌥↩","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Project","Rebuild Last Target","F9","In Windows"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Navigate","Forward History","⌥⌘→","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Project","Make Target Build","⇧F9","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Edit","Context Information","⌥?","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
